id,term,category_parent,category_sub,name,professor,credit
30715,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,韓国朝鮮語中級（演習）,崔 泰源,2.0
31367,Ｓ,総合科目,Ａ（思想・芸術）,美術論,加治屋 健司,2.0
31388,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,スペイン語初級（演習）,イサベル カルロス,2.0
31389,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,スペイン語初級（インテンシヴ）,サンブラノ グレゴリー,2.0
31518,Ｓ,主題科目,全学自由研究ゼミナール,全学自由研究ゼミナール (トポロジー入門),北山 貴裕,2.0
31540,Ｓ,主題科目,学術フロンティア講義,学術フロンティア講義 (サイバネティクス入門 -物理・生物と情報を繋げるシステム科学-),奈良 高明,2.0
31560,Ｓ,主題科目,全学自由研究ゼミナール,全学自由研究ゼミナール (MATLABによる生体信号処理入門),坂口 菊恵,2.0
31564,Ｓ,主題科目,全学自由研究ゼミナール,全学自由研究ゼミナール (「教える」と「学ぶ」を学ぼう ー教材から考える教授学習支援論ー),椿本 弥生,2.0
31592,Ｓ,主題科目,全学自由研究ゼミナール,全学自由研究ゼミナール (創造的読書論を読む),郷原 佳以,2.0
31625,Ｓ,総合科目,Ｄ（人間・環境）,環境・エネルギー工学基礎Ⅰ,馬渡 和真,2.0
31627,Ｓ,総合科目,Ｅ（物質・生命）,物質・生命工学基礎ⅠＡ,竹中 充,2.0
31654,Ｓ,総合科目,Ｅ（物質・生命）,地球惑星物理学入門,横山 央明,2.0
31753,Ｓ,総合科目,Ｃ（社会・制度）,計量社会科学,清水 剛,2.0
31775,Ｓ,基礎科目,身体運動・健康科学実習,身体運動・健康科学実習Ⅱ(2S),久保 啓太郎,1.0
31785,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,フランス語初級（演習）①,伊達 聖伸,2.0
31786,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,フランス語初級（演習）①,桑田 光平,2.0
31827,Ｓ,総合科目,Ａ（思想・芸術）,科学史,橋本 毅彦,2.0
30416,Ｓ,基礎科目,初修外国語,ロシア語一列①,西中村 浩,2.0
30417,Ｓ,基礎科目,初修外国語,韓国朝鮮語一列①,月脚 達彦,2.0
30418,Ｓ,基礎科目,初修外国語,イタリア語一列①,池上 俊一,2.0
30427,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,スペイン語初級（演習）①,イサベル カルロス,2.0
30428,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,スペイン語初級（演習）①,ドニャス ベレニャ アントニオ,2.0
30444,Ｓ,基礎科目,情報,情報,上條 俊介,2.0
30445,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語初級（演習）①,喬 志航,2.0
30446,Ｓ,基礎科目,初修外国語,ドイツ語一列①,石田 勇治,2.0
30447,Ｓ,基礎科目,初修外国語,ドイツ語二列,平松 英人,2.0
30448,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語初級（演習）①,オプヒュルス 鹿島,2.0
30449,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,フランス語初級（演習）①,DE VOS PATRICK HENRI,2.0
30450,Ｓ,基礎科目,初修外国語,ロシア語一列①,濵田 華練,2.0
30451,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,イタリア語初級（演習）①,アンドレア チヴィーレ,2.0
30452,Ｓ,基礎科目,初修外国語,スペイン語二列,受田 宏之,2.0
30453,Ｓ,基礎科目,初修外国語,ドイツ語一列①,足立 信彦,2.0
30454,Ｓ,基礎科目,身体運動・健康科学実習,身体運動・健康科学実習Ⅰ,久保 啓太郎,1.0
30466,Ｓ,基礎科目,初修外国語,中国語二列,山影 統,2.0
30467,Ｓ,基礎科目,初修外国語,ドイツ語二列,日名 淳裕,2.0
30468,Ｓ,基礎科目,初修外国語,ドイツ語一列①,竹峰 義和,2.0
30469,Ｓ,基礎科目,物質科学,化学熱力学,松尾 基之,2.0
30470,Ｓ,基礎科目,物質科学,化学熱力学,藤田 雅弘,2.0
30472,Ｓ,基礎科目,初修外国語,フランス語一列①,鈴木 順子,2.0
30473,Ｓ,基礎科目,初修外国語,フランス語一列①,関俣 賢一,2.0
30474,Ｓ,基礎科目,初修外国語,フランス語一列①,斎藤 かぐみ,2.0
30484,Ｓ,総合科目,Ｅ（物質・生命）,化学熱力学,松尾 基之,2.0
30485,Ｓ,総合科目,Ｅ（物質・生命）,化学熱力学,藤田 雅弘,2.0
30486,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,フランス語中級（インテンシヴ）,ビゼ,2.0
30487,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語中級（会話）,劉 岸麗,2.0
30488,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語中級（演習）,大石 紀一郎,2.0
30489,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語中級（演習）,菊池 真純,2.0
30490,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,アラビア語初級（第三外国語）,濱田 聖子,2.0
30491,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,トルコ語初級（第三外国語）,高松 洋一,2.0
30492,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,応用日本語(2)(PEAK),松下 達彦,2.0
30493,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,応用日本語(4)(PEAK),片山 智子,2.0
30494,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,応用日本語(6)(PEAK),根本 愛子,2.0
30495,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,応用日本語(8)(PEAK),柿山 礼美,2.0
30955,Ｓ,総合科目,Ａ（思想・芸術）,フランス語テクスト分析Ⅰ,桑田 光平,2.0
30965,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,フランス語中級（読解）,桑田 光平,2.0
31006,Ｓ,基礎科目,初修外国語,スペイン語一列①,網野 徹哉,2.0
31334,Ｓ,基礎科目,既修外国語,特別英語,橋川 健竜,2.0
31399,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,真船 文隆,2.0
31413,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,HOLMES MARK JAMES,2.0
31415,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,池内 与志穂,2.0
31440,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,新山 龍馬,2.0
31441,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,吉川 純一,2.0
31442,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,高木 剛,2.0
31443,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,齊藤 圭亮,2.0
31468,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,松本 久義,2.0
31658,Ｓ,総合科目,Ａ（思想・芸術）,外国文学,後藤 和彦,2.0
31685,Ｓ,基礎科目,初年次ゼミナール文科,初年次ゼミナール文科,田村 隆,2.0
31686,Ｓ,基礎科目,初年次ゼミナール文科,初年次ゼミナール文科,岡ノ谷 一夫,2.0
31687,Ｓ,基礎科目,初年次ゼミナール文科,初年次ゼミナール文科,キハラハント 愛,2.0
31688,Ｓ,基礎科目,初年次ゼミナール文科,初年次ゼミナール文科,中西 徹,2.0
31689,Ｓ,基礎科目,初年次ゼミナール文科,初年次ゼミナール文科,福田 正宏,2.0
30519,Ｓ,基礎科目,初修外国語,スペイン語一列①,受田 宏之,2.0
30520,Ｓ,基礎科目,初修外国語,スペイン語二列,深澤 晴奈,2.0
30521,Ｓ,基礎科目,身体運動・健康科学実習,身体運動・健康科学実習Ⅰ,久保 啓太郎,1.0
30522,Ｓ,基礎科目,情報,情報,上條 俊介,2.0
30539,Ｓ,基礎科目,初修外国語,フランス語一列①,関俣 賢一,2.0
30540,Ｓ,基礎科目,初修外国語,フランス語一列①,松村 剛,2.0
30541,Ｓ,基礎科目,初修外国語,フランス語一列①,郷原 佳以,2.0
30542,Ｓ,基礎科目,初修外国語,フランス語一列①,山田 広昭,2.0
30543,Ｓ,基礎科目,初修外国語,中国語二列,山影 統,2.0
30547,Ｓ,基礎科目,初修外国語,ドイツ語二列,久保 哲司,2.0
30548,Ｓ,基礎科目,初修外国語,ロシア語一列①,鳥山 祐介,2.0
30549,Ｓ,基礎科目,初修外国語,韓国朝鮮語一列①,生越 直樹,2.0
30550,Ｓ,基礎科目,初修外国語,イタリア語一列①,宮坂 真紀,2.0
30552,Ｓ,基礎科目,初修外国語,中国語一列①,中村 元哉,2.0
